Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,Q0_ProlificID,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q7_4_TEXT,Q8,Q8_5_TEXT,Q9,Q9_9_TEXT,Q10_1,Q11,Q11_7_TEXT,Q12,Q13,Q13_7_TEXT,Q14,Q15,Q16 ,Q17,Q17_1_TEXT,Q18,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q24,Q24_4_TEXT,Q25,Q25_5_TEXT,Q26,Q26_9_TEXT,Q27_1,Q28,Q28_7_TEXT,Q29,Q30,Q30_7_TEXT,Q31,Q32,Q33,Q34,Q34_1_TEXT,Q35,Q36,Q37,Q38,Q39_1,Q40_1
810,True,6/30/25 11:58,R_8fDG291HGHwodz3,"47,8487","12,0615",DE,"0,3000000119",,Yes,"1. My son, who has an intellectual disability, and his school support worker were involved.

2. School

3. How to prevent my son from resetting and changing anything on his school device.

4. I received a message saying that the password for my Apple account had been reset. I only have the Apple account for my son's school iPad. I didn't understand why and who did it and wanted information about what happened at school, as I don't want my son or other people to be able to change it and I don't understand how it could have happened.

5.15 min
6. Neither I nor the school assistant know how to proceed. We feel abandoned and pressured by the school. They wanted to introduce the devices and we are having problems.",1,Other (please specify),Schulbegleitung meines Sohnes,Myself,"Yes, somebody I know",Other (please specify),Workplace/University,"Personal experience (e.g. cybersecurity incident),Work/school-related requirement",,Security behavior,,1 (Strongly disagree),"Worried/anxious,Annoyed,Other (please describe)","overwhelmed, angry","I don't know much about it. The school isn't helpful, but they want the device.","Worried/anxious,Annoyed",,"She is a school assistant and doesn't need to know anything about IT, but she has difficulties on site with my son with passwords, etc.",,,"No, but I plan to have one in the future",,"Yes, I’d like to describe another conversation","1. My son and I
2. At home
3. How not to click on things you shouldn't
4. My son has limitations, but is supposed to use an iPad at school. No one explains anything to him, he doesn't understand what things cost, etc., or what is allowed.
5. 30 min",1,Other (please specify),Sohn,Myself,"Yes, somebody I know",At home,,Personal experience (e.g. cybersecurity incident),,"Application areas,Privacy tools ,Security behavior ",,1 (Strongly disagree),"Worried/anxious,Annoyed",,It's too much for me. I don't know my way around and can't protect my disabled son there.,"Worried/anxious,Annoyed,Indifferent",,He doesn't care about anything.,,,"No, but I plan to have one in the future",,37,Female,Germany,Romance languages,1 (Strongly disagree),5 (Strongly agree)
543,True,6/30/25 12:15,R_8sSQOE89KLm5qfL,"48,5309","12,1559",DE,"0,1000000015",,Yes,"Doctor's appointment; doctor is surprised by my heart rate. He asks if my pulse increases during physical exertion. I answer that I think so. He asks if I don't monitor this on my smartwatch. I answer that I don't own a smartwatch because I don't want corporations in the US or China to know details about my health.
The doctor is surprised but accepts my position.",1,Other (please specify),Doctor,Other,No,Other (please specify),Doctor's office,"Personal experience (e.g. cybersecurity incident),Other (please specify)",Bedenken über Datensicherheit von Appliances,"Application areas,Surveillance or data collection,Other (please specify)",private und persönliche Daten,5 (Strongly agree),"Confident/informed,Helpful/responsible",,Take a clear stance,Other (please describe),tolerant,He was probably surprised that I didn't naively follow the majority.,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,64,Male,Germany,Retired,3,5 (Strongly agree)
660,True,6/30/25 12:19,R_8HjhvVNem3Vyxab,"48,1477","11,5695",DE,"0,400000006",,Yes,"The discussion took place among colleagues. It revolved around the observation that the IT infrastructure in the working environment is generally far too vulnerable. The main reason identified for this was that many processes are decentralized and colleagues have little awareness of the impact of their own behavior on cybersecurity in their everyday work. This would also be reflected, among other things, in low compliance with relevant guidelines, the use of appropriately approved software, etc. This finding was generally agreed upon, and it was suggested that an information event be organized with the IT department to address the problem.",4,Colleague,,,,Workplace/University,,Personal experience (e.g. cybersecurity incident),,"Application areas,Security behavior,Security tools",,5 (Strongly agree),Annoyed,,Because of the problem and its connection to the (perceived) indifference of others.,"Interested/curious,Annoyed",,"On the one hand, due to the increased attention paid to the issue, and on the other hand, also because of the problems involved.",,,"No, but I plan to have one in the future",,"Yes, I’d like to describe another conversation","The conversation took place within my own family. It was about protection against various types of cyber attacks and fraud attempts. Among other things, we discussed using passwords that are as diverse as possible, backing up data multiple times, and generally being alert to fraud attempts such as phishing. The conversation lasted about 5 minutes.",2,Friend,,Myself,No,At home,,"Personal experience (e.g. cybersecurity incident),News story or social media post",,"Application areas,Identity theft or fraud,Phishing or scams,Privacy tools ,Security behavior ,Security tools ",,5 (Strongly agree),"Confident/informed,Helpful/responsible",,Because it felt good to act with foresight and plan responsibly.,"Confident/informed,Annoyed",,"On the one hand, because the increase in information may have led to greater self-efficacy, and on the other hand, because the issue is probably not given the same level of attention and individual measures are associated with a loss of comfort.",,,,,33,Male,Germany,Research assistant,3,5 (Strongly agree)
117,True,6/30/25 12:43,R_8GdLFFeOIKWYftL,"50,948","6,9366",EN,"0,6000000238",,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Male,Germany,Law,2,5 (Strongly agree)
95,True,6/30/25 12:51,R_2gdtmiTjkYuWSsA,"48,1475","11,5865",DE,"0,400000006",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Female,Germany,Art history,1 (Strongly disagree),5 (Strongly agree)
299,True,6/30/25 13:00,R_8Z5iK4UqOPAcCFb,"48,1223","11,5112",DE,"0,8000000119",,Yes,"Colleagues, at work, file encryption by ransomware, ransomware attacks on public institutions and companies, approx. 10 min, conclusion: more needs to be done, LMU is lagging behind, it's a miracle that we haven't been the victim of an attack yet.",2,Colleague,,Myself,"Yes, somebody I know",Workplace/University,,News story or social media post,,"Application areas,Incidents,Phishing or scams,Privacy tools,Security tools",,4,"Interested/curious,Confident/informed,Helpful/responsible",,"Important topic, interesting topic",Interested/curious,,Problem known and classified as important,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,45,Male,Germany,Chemistry,2,5 (Strongly agree)
85,True,6/30/25 13:00,R_2nvkKjjBC5KF1PX,"48,1475","11,5865",DE,0,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Prefer not to answer,Germany,Computer Science,5 (Strongly agree),5 (Strongly agree)
897,True,6/30/25 13:23,R_2VF9LX00VP4yD47,"48,1229","11,6024",DE,"0,1000000015",,Yes,"1. Colleagues
2. At work
3. I don't want my data to be used for AI development
4. The storage of my WhatsApp data
5. 15-20 minutes
6. We also talked about it in my family",3,Colleague,,Myself,"Yes, somebody I know",Workplace/University,,Personal experience (e.g. cybersecurity incident),,"Application areas,Identity theft or fraud,Incidents,Phishing or scams,Security behavior,Surveillance or data collection",,3,"Interested/curious,Worried/anxious,Other (please describe)",unsettled,Because I want to be sure my data is safe.,"Interested/curious,Worried/anxious,Helpful/responsible,Indifferent",,"There is a belief that if you use smartphones, you have to accept this.",Yes,"Personally, I am once again paying more attention to what I reveal in chats.",,,No,,,,,,,,,,,,,,,,,,,,,,,,57,Female,Germany,Service,3,5 (Strongly agree)
382,True,6/30/25 13:42,R_2IdapMMJ7WhF4Bf,"48,1475","11,5865",DE,"0,3000000119",,Yes,"In the lecture Human-Machine Interaction 2, we had a guest lecture on human-centered security. It was mainly a lecture-style class, but after the lecture, I talked to my fellow students about the fact that passwords can be very secure, but most users use the same passwords and therefore they are not so secure. The conversation lasted about 5 minutes.",2,Friend,,,No,Workplace/University,,Work/school-related requirement,,Security behavior,,5 (Strongly agree),"Confident/informed,Helpful/responsible",,I had already had several points of contact with it through my studies.,Confident/informed,,I don't know,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Germany,Media informatics,2,5 (Strongly agree)
554,True,6/30/25 13:44,R_8KuQwUqvWWArIrL,"55,867","-4,2621",EN,"0,8999999762",,Yes,I talked to one of my colleagues at the university about cybersecurity in the age of quantum computing. The conversation took place in the communal kitchen of the university offices and came about because we happened to bump into each other. The topic came up because my colleague had given a lecture on quantum computing a few days earlier (he is doing his PhD on programming languages for quantum computing). We talked for about 15 minutes.,1,Colleague,,,"Yes, somebody I know",Workplace/University,,Other (please specify),previous talk given by my colleague,"Security tools,Surveillance or data collection",,4,"Interested/curious,Worried/anxious",,"Cybersecurity, especially in the context of quantum computing is incredibly interesting in my opinion (the theory behind it). The reality of it is also quite scary however since a large, working quantum computer can break current key-encryption schemes much easier than conventional computers.","Interested/curious,Worried/anxious,Confident/informed",,"We shared both the interest in the theory as well as the worries about the implications for cybersecurity. Additionally, my colleague knows a log about quantum computing given his research focus so he was more confident talking about the topic.",No,,"Yes, I had (How many?)",1,No,,,,,,,,,,,,,,,,,,,,,,,,24,Male,UK,Computer Science,2,5 (Strongly agree)
543,True,6/30/25 14:08,R_2tRgdatSQga1SO5,"48,1363","11,5357",DE,0,,Yes,"Conversation at home in the living room with my mother about the security of publishing personal data on social media platforms in connection with hacks after security concerns at Facebook became known.
Approximately 5-10 minutes in length.",2,Other (please specify),Family,Myself,"Yes, somebody I know",At home,,News story or social media post,,"Application areas,Identity theft or fraud,Incidents,Phishing or scams,Security behavior",,3,"Interested/curious,Confident/informed,Helpful/responsible",,The feeling of being able to educate others and pass on information.,Indifferent,,"Topic discussed frequently; problems are always sought in others, poor self-awareness",No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Germany,Medicine,4,5 (Strongly agree)
76,True,6/30/25 14:14,R_8vRK1eAXzQsDQit,"48,1475","11,5865",DE,"0,8000000119",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Male,Germany,Sinology,1 (Strongly disagree),5 (Strongly agree)
88,True,6/30/25 16:00,R_2wFUTWcXbTg5zbA,"48,1475","11,5865",DE,"0,400000006",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Female,Germany,Biology,1 (Strongly disagree),5 (Strongly agree)
1061,True,6/30/25 16:31,R_8YJRDkbLDYIn348,"48,1475","11,5865",DE,"0,400000006",,Yes,"In fact, we talked about it after we all read Marc Uwekling's thriller View or listened to it as an audiobook.

On the one hand, it was about AI and whether AI really uses crime and generates crime. On the other hand, it was about what is real. Or what if the justice system and the police can no longer tell when something is generated by AI or not. Or if it leads to incitement and violence. Or how people use data on the internet and messages to create an identity. Or use another identity to commit a crime in that name. Or how an artificial identity is used to incite hatred. And what might already be possible today or in a few years. And that data security is becoming increasingly important. But data misuse could also become more and more common. Some people said that this is nonsense, that it's still full of bugs, etc., and that you couldn't generate something so perfect. The conversation then moved on to cyber warfare in politics and modern warfare without weapons—you would only have to hack a region's infrastructure to paralyze it (electricity, local transport, telecommunications, water supply, etc.). Oh, the conversation went on for several hours, probably 3-4 hours.
Another situation was at work, where the topic was password security for devices. Since most of them are located directly at the PC, or if it is a shared device or in the immediate vicinity, how secure are they if they are so easily chosen? How secure is our test data then? Can anyone access it? Should we only give the passwords to the person next to us? Without leaving a note nearby. How secure is the university against cyber attacks, etc.? Some were more concerned about security, while others were very confident, which led to a heated discussion about what-if scenarios.
The conversation lasted about 30-45 minutes.
",5,"Friend,Colleague",,Other,No,Other (please specify),Workplace/University,"Work/school-related requirement,Other (please specify)",Treffen mit freunden über das Buch. ,"Application areas,Identity theft or fraud,Incidents,Security behavior,Security tools",,3,"Interested/curious,Worried/anxious,Helpful/responsible",,"Because I think that no one is or can be 100% informed about data security.
In addition, it is worrying what modern technology might be capable of in the future. And who simply cannot keep up when it comes to the security of individuals.","Interested/curious,Worried/anxious,Confident/informed,Helpful/responsible",,"Some were real tech pros or even employees at Telekom. Others have a side job for the German power grid. Others just felt safe and had no concerns. How do you think what will be regulated or something like that won't happen, that's science fiction...",,,,,No,,,,,,,,,,,,,,,,,,,,,,,,34,Female,Germany,Biological-technical assistant,2,5 (Strongly agree)
685,True,6/30/25 16:35,R_8L7Kui1HyRGoVQ0,"48,1363","11,5357",DE,0,,Yes,"1. Friend
2. Home
3. Hacker attacks in general
4. Latest news
5. Max 5 min
6. Hackers are always one step ahead of IT security",1,Friend,,Other,No,At home,,News story or social media post,,"Incidents,Privacy tools,Security behavior,Security tools",,2,"Interested/curious,Worried/anxious",,N/A,"Interested/curious,Confident/informed,Helpful/responsible",,Knows more about it,Yes,More awareness at work,,,No,,,,,,,,,,,,,,,,,,,,,,,,56,Female,Germany,Geologist,1 (Strongly disagree),5 (Strongly agree)
1242,True,6/30/25 21:42,R_8mwv89XT9O4BcHu,"42,6631","21,169",DE,0,,Yes,"I discussed this topic with colleagues during lunch break.

1. My sister
2. On the phone
3. About data protection
4. My lost notebook, because it contained all my passwords with important information about customers related to work.
5. 15-20 min
6. No ",1,Acquaintance,,Myself,No,Other (please specify),Phone call,Personal experience (e.g. cybersecurity incident),,"Application areas,Identity theft or fraud,Security tools",,3,"Worried/anxious,Annoyed",,I felt that way because I was responsible for the passwords.,"Annoyed,Indifferent",,Because you think I'm clumsy.,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,32,Female,Germany,Psychologist,5 (Strongly agree),5 (Strongly agree)
703,True,6/30/25 23:51,R_1TMqEJtbOgWbLpK,"40,6739","-73,9358",EN,"0,1000000015",,Yes,"The last time I have spoken about cybersecurity, was two weeks ago. Few departments in the college that I work received some spam emails. We immediately reported them to the IT department. Then they took it from there. They shared an email notifying and warning the employee to not click on links coming from unknown or outside organization emails.",10,Colleague,,Myself,"Yes, somebody I know",Workplace/University,,Personal experience (e.g. cybersecurity incident),,"Identity theft or fraud,Incidents,Phishing or scams",,5 (Strongly agree),"Confident/informed,Helpful/responsible",,Because I have knowledge in cybersecurity.,"Interested/curious,Worried/anxious",,Because she accidentally has clicked on the link.,Yes,We had to complete a training about cybersecurity.,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,26,Female,USA,Data Science,5 (Strongly agree),5 (Strongly agree)
83,True,6/30/25 23:52,R_2fZ8nZLLo0c51Gp,"42,6631","21,169",EN,"0,200000003",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Female,Kosovo,Psychology,2,5 (Strongly agree)
97,True,7/1/25 1:36,R_81vdqMNMa3j9PAv,"48,1436","16,2941",EN,"0,3000000119",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Male,Kosovo,Medical Doctor,2,5 (Strongly agree)
882,True,7/1/25 7:49,R_2oEKua6O3vMTUem,"42,4411","19,2632",EN,"0,8000000119",,Yes,"1. The students in the class 
2. In the classroom 
3. Russia’s cyber attack 
4. Russia’s cyber attack which shutdown the whole electricity in some part of the Balkans.
5. 2 Hours
6. It showed how unprepared the Balkans were from these attacks.",25,Colleague,,Other,No,Workplace/University,,"Personal experience (e.g. cybersecurity incident),Other (please specify)",News story or social media post,Incidents,,3,Interested/curious,,Because I never experienced before what a powerful cyber attack can do,Interested/curious,,Because the attacked showed that we were not ready in any shape or form to protect our country from such threats,Yes,To protect our personal data better,"Yes, I had (How many?)",3,No,,,,,,,,,,,,,,,,,,,,,,,,24,Male,Montenegro,Management and Energy Policy,2,5 (Strongly agree)
1104,True,7/1/25 9:51,R_279FfKZ156lN61h,"48,0825","11,5678",DE,"0,8000000119",,Yes,"My husband and I were talking about the difference between obfuscating and encrypting.

He is 31, a “full-blooded” computer scientist for over 15 years, with many projects of his own, more hardware-oriented (preferably no front end).

I am 30, also worked in IT, but I am a psychologist (and am now getting my master's degree) and used to work in HR, supporting all software departments in a start-up (100 people), and then moved into project management.
I don't develop myself, but I have a *huge* interest in software development, have supported software departments (e.g., led refinements where I had to understand the concepts in order to moderate well, e.g., why singletons are terrible, race conditions, release candidates, breaking changes, ...). I also have my own small software projects, but they are negligible (a small homepage, a vacation calculator, which would be much easier in Excel, but it was good practice at the time, etc.).

My husband and I have had a WhatsApp group for two years now, where I write down everything I would like to understand better. Whenever we go for a walk, out to dinner, or something similar, we pick topics from there. These can be topics such as heap/stack, why there are so many Linux distros, why regex is so complex, talking in more depth about pointers (and smart pointers), etc. On average, 1-2 topics are added to the group (sometimes more, sometimes less) and there are still some open. Some are very comprehensive, some very precise.


So, we were walking in the zoo recently (two weeks ago?), which we do about once a week, and I suggested that we pick a topic and decided on obfuscating vs. encrypting. The trigger was therefore “interest” and “habit,” as we often talk during our walks. We talked about the topic for about 20-30 minutes and then moved on to quantum computers and then kernel development.",1,Other (please specify),Partner,Myself,No,"Public space (e.g., café, train)",,"Someone asked for advice,Other (please specify)",Neugierde,"Application areas,Identity theft or fraud,Security behavior,Other (please specify)",Verschlüsselung,4,"Interested/curious,Confident/informed,Other (please describe)","Taken seriously, valued, other people's interest in me","I really enjoy talking to my husband about software topics that I initiate (unless he has something from work, then that too). He explains things very well and I'm always happy when he explains things to me, “even though” he sometimes has to break it down a lot, but I'm not “the annoying little woman who pretends to be interested but doesn't listen anyway.”","Interested/curious,Confident/informed,Helpful/responsible,Other (please describe)","Geliebt, gut, gewertschätzt","My husband is happy that I have a genuine interest, especially in contrast to our experiences with couples in our circle of friends. (Almost all of them are in STEM, and in the couples where only one partner is in STEM, the other partner completely blocks it (“omg, stay away from me with that IT stuff, I'm not interested in it at all”).
And especially that this interest is not “forced” because of my love for him, but that I have had this interest for over 15 years (only I didn't have anyone to talk to about it before and chose a different career path).

I am also very grateful for how well he explains things and how much I enjoy our quality time together.",No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,30,Female,Germany,Psychology,1 (Strongly disagree),5 (Strongly agree)
