Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,UserLanguage,Q_RecaptchaScore,Q0_ProlificID,Q1,Q2,Q3,Q4,Q4_5_TEXT,Q5,Q6,Q7,Q7_4_TEXT,Q8,Q8_5_TEXT,Q9,Q9_9_TEXT,Q10_1,Q11,Q11_7_TEXT,Q12,Q13,Q13_7_TEXT,Q14,Q15,Q16 ,Q17,Q17_1_TEXT,Q18,Q19,Q20,Q21,Q21_5_TEXT,Q22,Q23,Q24,Q24_4_TEXT,Q25,Q25_5_TEXT,Q26,Q26_9_TEXT,Q27_1,Q28,Q28_7_TEXT,Q29,Q30,Q30_7_TEXT,Q31,Q32,Q33,Q34,Q34_1_TEXT,Q35,Q36,Q37,Q38,Q39_1,Q40_1
660,True,6/30/25 12:19,R_8HjhvVNem3Vyxab,"48,1477","11,5695",DE,"0,400000006",,Yes,"Das Gespräch hat im Kollegium stattgefunden. Es drehte sich die Beobachtung, dass die IT-Infrastruktur im Arbeitsumfeld allgemein viel zu anfällig ist. Als Grund dafür wurde inbesondere ausgemacht, dass viele Prozesse dezentralisiert sind und Kolleg:innen ein geringes Problembewusstsein für das eigene Verhalten gegenüber der Cybersicherheit im Arbeitsalltag haben. Dies würde sich unter anderem auch in einer geringen Compliance gegenüber der Einhaltung von entsprechenden Richtilinien, der Verwendung entsprechend zugelassener Software etc. ausdrücken. Diesem Befund wurde allgemein zugestimmt und es wurde angeregt, ggf. mit der EDV eine Infoveranstaltung zu organisieren, um dem Problem zu begegnen.",4,Colleague,,,,Workplace/University,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,5 (Strongly agree),Annoyed,,Wegen der Problematik und ihrem Zusammenhang mit (gefühlter) Gleichgültigkeit anderer.,"Interested/curious,Annoyed",,"Einerseits aufgrund des Zuwachses an Aufmerksamkeit gegenüber der Thematik, andererseits ebenfalls wegen der Problematik.",,,"No, but I plan to have one in the future",,"Yes, I’d like to describe another conversation","Das Gespräch hat im eigenen Familienkreis stattgefunden. Es ging dabei um den Schutz vor verschiedenen Arten von Cyberangriffen und Betrugsversuchen. Es wurde unter anderem angesprochen, möglichst vielfältige Passwörter zu verwenden, Daten mehrfach zu sichern und allgemein aufmerksam gegenüber Betrugsversuchen wie Phishing zu sein. Das Gespräch hat ca. 5 Minuten gedauert.",2,Friend,,Myself,No,At home,,"Personal experience (e.g., cybersecurity incident),News story or social media post",,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Phishing or scams,Privacy tools (permission manager, cookie banners etc.),Security behavior (choice of passwords, updating software etc.),Security tools (password managers, antivirus, VPN etc.)",,5 (Strongly agree),"Confident/informed,Helpful/responsible",,"Weil es sich gut angefühlt hat, vorausschauend zu agieren und verantwortungsbewusst zu planen.","Confident/informed,Annoyed",,"Einerseits, weil der Zuwachs an Information zu einer gestärkten Selbstwirksamkeit geführt haben könnte, andererseits, weil der Thematik vermutlich nicht dasselbe Maß an Beachtung geschenkt wird und einzelne Maßnahmen mit Komforteinbußen einhergehen.",,,,,33,Male,Deutschland,Wissenschaftlicher Mitarbeiter,3,5 (Strongly agree)
117,True,6/30/25 12:43,R_8GdLFFeOIKWYftL,"50,948","6,9366",EN,"0,6000000238",,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,Male,Germany ,Law,2,5 (Strongly agree)
95,True,6/30/25 12:51,R_2gdtmiTjkYuWSsA,"48,1475","11,5865",DE,"0,400000006",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,Female,Deutschland,Kunstgeschichte,1 (Strongly disagree),5 (Strongly agree)
299,True,6/30/25 13:00,R_8Z5iK4UqOPAcCFb,"48,1223","11,5112",DE,"0,8000000119",,Yes,"Kollegen, am Arbeitsplatz, Verschlüsselung von Dateien durch Ransomware, Ransomware Attacken auf öffentliche Einrichtungen und Firmen, ca. 10 min, Schlussfolgerung: man muss mehr tun, die LMU hängt hinterher, ein Wunder, dass wir noch nicht Opfer eines Angriffs geworden sind. ",2,Colleague,,Myself,"Yes, somebody I know",Workplace/University,,News story or social media post,,"Application areas (web browsing, smartphone, social media etc.),Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Privacy tools (permission manager, cookie banners etc.),Security tools (password managers, antivirus, VPN etc.)",,4,"Interested/curious,Confident/informed,Helpful/responsible",,"Wichtiges Thema, interessantes Thema",Interested/curious,,Problematik bekannt und als wichtig eingestuft,No,,"No, but I plan to have one in the future",,No,,,,,,,,,,,,,,,,,,,,,,,,45,Male,Deutschland,Chemie,2,5 (Strongly agree)
85,True,6/30/25 13:00,R_2nvkKjjBC5KF1PX,"48,1475","11,5865",DE,0,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,Prefer not to answer,Deutschland,Informatik,5 (Strongly agree),5 (Strongly agree)
897,True,6/30/25 13:23,R_2VF9LX00VP4yD47,"48,1229","11,6024",DE,"0,1000000015",,Yes,"1. Kollegen
2. am Arbeitsplatz
3. das ich nicht möchte das meine Daten zur K I Entwicklung verwendet werden
4. die Speicherung meiner WhatsApp Daten
5. 15 -20 Min
6. auch in meiner Familie hatten wir darüber gesprochen",3,Colleague,,Myself,"Yes, somebody I know",Workplace/University,,"Personal experience (e.g., cybersecurity incident)",,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Security behavior (choice of passwords, updating software etc.),Surveillance or data collection (government, companies etc.)",,3,"Interested/curious,Worried/anxious,Other (please describe)",verunsichert,Weil ich mich auf die Sicherheit meiner Daten verlassen möchte.,"Interested/curious,Worried/anxious,Helpful/responsible,Indifferent",,"Es besteht die Überzeugung das, wenn man Smartphones nutzt, man das in Kauf nehmen muss.",Yes,Persönlich achte ich wieder mehr darauf was ich in Chats preisgebe ,,,No,,,,,,,,,,,,,,,,,,,,,,,,57,Female,Deutschland,Dienstleistung,3,5 (Strongly agree)
382,True,6/30/25 13:42,R_2IdapMMJ7WhF4Bf,"48,1475","11,5865",DE,"0,3000000119",,Yes,"In der Vorlesung, Mensch-Maschine-Interaktion 2 hatten wir einen Gastvortrag zu Human-Centered Security, das war vorallem Frontalunterricht, jedoch nach der Vorlesung habe ich mich beim hinausgehen mit Kommilitonen über den Fakt unterhalten, das Passwörter zwar sehr sicher sein können, doch die meisten User die gleichen Passwörter benutzen und sie deshalb nicht so sicher sind. Das Gespräch hat ca 5 min gedauert.",2,Friend,,,No,Workplace/University,,Work/school-related requirement,,"Security behavior (choice of passwords, updating software etc.)",,5 (Strongly agree),"Confident/informed,Helpful/responsible",,hatte schon mehrere berührungspunkte durch mein studium damit,Confident/informed,,Weiß ich nicht,No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Deutschland ,Medieninformatik ,2,5 (Strongly agree)
554,True,6/30/25 13:44,R_8KuQwUqvWWArIrL,"55,867","-4,2621",EN,"0,8999999762",,Yes,I had a conversation about cybersecurity in the age of quantum computing with one of my colleagues in the university. The conversation took place in the shared kitchen of the university offices and it was triggered by us bumping into one another. The topic came up since my colleague had given a talk about quantum computing (he's doing a PhD in coding languages for quantum computing) a few days earlier. We were talking for approximately 15 minutes.,1,Colleague,,,"Yes, somebody I know",Workplace/University,,Other (please specify),previous talk given by my colleague,"Security tools (password managers, antivirus, VPN etc.),Surveillance or data collection (government, companies etc.)",,4,"Interested/curious,Worried/anxious",,"Cybersecurity, especially in the context of quantum computing is incredibly interesting in my opinion (the theory behind it). The reality of it is also quite scary however since a large, working quantum computer can break current key-encryption schemes much easier than conventional computers.","Interested/curious,Worried/anxious,Confident/informed",,"We shared both the interest in the theory as well as the worries about the implications for cybersecurity. Additionally, my colleague knows a log about quantum computing given his research focus so he was more confident talking about the topic.",No,,"Yes, I had (How many?)",1,No,,,,,,,,,,,,,,,,,,,,,,,,24,Male,United Kingdom,Computer Science,2,5 (Strongly agree)
543,True,6/30/25 14:08,R_2tRgdatSQga1SO5,"48,1363","11,5357",DE,0,,Yes,"Gespräch zu Hause im Wohnzimmer mit meiner Mutter über die Sicherheit von Veröffentlichung persönlicher Daten auf social media Plattformen im Zusammenhang mit Hacks nach Bekanntwerden von Sicherheitsbedenken bei Facebook.
Etwa 5-10 Minuten Dauer.",2,Other (please specify),Familie,Myself,"Yes, somebody I know",At home,,News story or social media post,,"Application areas (web browsing, smartphone, social media etc.),Identity theft or fraud,Incidents (ransomware attack, data breach, leak, device theft etc.),Phishing or scams,Security behavior (choice of passwords, updating software etc.)",,3,"Interested/curious,Confident/informed,Helpful/responsible",,Gefühl Aufklärungsarbeit zu leisten und Informationen weitergeben zu können.,Indifferent,,"Thema schon häufiger besprochen; Probleme werden immer bei anderen gesucht, keine gute Selbstwahrnehmung",No,,,,No,,,,,,,,,,,,,,,,,,,,,,,,26,Female,Deutschland,Rettungssanitäter/Humanmedizin,4,5 (Strongly agree)
76,True,6/30/25 14:14,R_8vRK1eAXzQsDQit,"48,1475","11,5865",DE,"0,8000000119",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,Male,Deutschland ,Sinologe,1 (Strongly disagree),5 (Strongly agree)
88,True,6/30/25 16:00,R_2wFUTWcXbTg5zbA,"48,1475","11,5865",DE,"0,400000006",,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,Female,Deutschland,Biologie,1 (Strongly disagree),5 (Strongly agree)
